"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"JPN","CCI","AMPLITUD","LTRENDIDX","M","2000-07",100.3336,
"JPN","CCI","AMPLITUD","LTRENDIDX","M","2000-08",100.3004,
"JPN","CCI","AMPLITUD","LTRENDIDX","M","2000-09",100.1956,
"JPN","CCI","AMPLITUD","LTRENDIDX","M","2000-10",100.0066,
"JPN","CCI","AMPLITUD","LTRENDIDX","M","2000-11",99.71616,
"JPN","CCI","AMPLITUD","LTRENDIDX","M","2000-12",99.40038,
"JPN","CCI","AMPLITUD","LTRENDIDX","M","2001-01",99.15374,
"JPN","CCI","AMPLITUD","LTRENDIDX","M","2001-02",99.03916,
"JPN","CCI","AMPLITUD","LTRENDIDX","M","2001-03",98.96923,
"JPN","CCI","AMPLITUD","LTRENDIDX","M","2001-04",98.82074,
"JPN","CCI","AMPLITUD","LTRENDIDX","M","2001-05",98.50468,
"JPN","CCI","AMPLITUD","LTRENDIDX","M","2001-06",98.11466,
"JPN","CCI","AMPLITUD","LTRENDIDX","M","2001-07",97.78611,
"JPN","CCI","AMPLITUD","LTRENDIDX","M","2001-08",97.62942,
"JPN","CCI","AMPLITUD","LTRENDIDX","M","2001-09",97.60155,
"JPN","CCI","AMPLITUD","LTRENDIDX","M","2001-10",97.66281,
"JPN","CCI","AMPLITUD","LTRENDIDX","M","2001-11",97.80465,
"JPN","CCI","AMPLITUD","LTRENDIDX","M","2001-12",97.98841,
"JPN","CCI","AMPLITUD","LTRENDIDX","M","2002-01",98.18627,
"JPN","CCI","AMPLITUD","LTRENDIDX","M","2002-02",98.38023,
"JPN","CCI","AMPLITUD","LTRENDIDX","M","2002-03",98.54698,
"JPN","CCI","AMPLITUD","LTRENDIDX","M","2002-04",98.64678,
"JPN","CCI","AMPLITUD","LTRENDIDX","M","2002-05",98.63937,
"JPN","CCI","AMPLITUD","LTRENDIDX","M","2002-06",98.56695,
"JPN","CCI","AMPLITUD","LTRENDIDX","M","2002-07",98.47028,
"JPN","CCI","AMPLITUD","LTRENDIDX","M","2002-08",98.36961,
"JPN","CCI","AMPLITUD","LTRENDIDX","M","2002-09",98.2701,
"JPN","CCI","AMPLITUD","LTRENDIDX","M","2002-10",98.171,
"JPN","CCI","AMPLITUD","LTRENDIDX","M","2002-11",98.07382,
"JPN","CCI","AMPLITUD","LTRENDIDX","M","2002-12",97.99007,
