state,year,vmt,fatalityrate,sb_use,speed65,ba08,income,age,enforcement
AK,1991,4.021,25.1181,0.66,0,0,21.496,29.82771,secondary
AK,1992,3.841,28.1177,0.66,1,0,22.073,30.2107,secondary
AK,1993,3.918,30.1174,0.69,1,0,22.711,30.46439,secondary
AK,1994,4.15,20.4819,0.69,1,0,23.417,30.75657,secondary
AK,1995,4.123,21.1011,0.69,1,0,23.971,31.1786,secondary
AK,1996,4.115,19.6841,0.69,1,0,24.31,31.44535,secondary
AK,1997,4.387,17.5519,0.69,1,0,24.969,31.60147,secondary
AL,1992,45.762,22.5296,0.58,1,0,16.817,35.83262,secondary
AL,1993,47.337,22.0546,0.55,1,0,17.398,35.94825,secondary
AL,1994,48.956,22.1219,0.55,1,0,18.163,36.09201,secondary
AL,1995,50.628,22.0036,0.52,1,1,19.041,36.20575,secondary
AL,1996,51.433,22.2814,0.54,1,1,19.838,36.38513,secondary
AL,1997,53.458,22.2979,0.52,1,1,20.672,36.50072,secondary
AR,1991,21.934,27.7195,0.52,1,0,14.766,36.46632,secondary
AR,1992,23.081,25.4755,0.55,1,0,15.807,36.5057,secondary
AR,1993,23.995,24.2967,0.55,1,0,16.38,36.59258,secondary
AR,1994,24.948,24.4108,0.51,1,0,17.09,36.62239,secondary
AR,1995,26.653,23.6746,0.51,1,0,17.934,36.62849,secondary
AR,1996,27.84,22.0905,0.48,1,0,18.808,36.66524,secondary
AR,1997,28.144,23.4508,0.48,1,0,19.595,36.81758,secondary
AZ,1991,34.929,23.3617,0.65,1,0,16.971,35.00491,secondary
AZ,1992,35.047,23.0833,0.73,1,0,17.583,35.19247,secondary
AZ,1993,39.15,20.4598,0.73,1,0,18.27,35.28326,secondary
AZ,1994,38.774,23.3146,0.6,1,0,19.127,35.49593,secondary
AZ,1995,39.653,26.1014,0.6,1,0,20.078,35.49486,secondary
AZ,1996,42.123,23.5976,0.56,1,0,21.071,35.55243,secondary
AZ,1997,43.491,21.8666,0.63,1,0,21.998,35.70044,secondary
CA,1986,214.913,24.4424,0.4543,0,0,17.255,33.81114,secondary
CA,1987,226.301,24.3216,0.481,1,0,18.175,33.82216,secondary
CA,1988,241.575,22.3202,0.5085,1,0,19.263,33.80381,secondary
CA,1989,251.482,21.5204,0.533,1,0,20.226,33.75921,secondary
CA,1990,258.926,20.0521,0.571,1,1,21.363,33.83672,secondary
CA,1991,257.976,18.1722,0.5935,1,1,21.491,33.79849,secondary
CA,1992,262.548,15.9666,0.666,1,1,22.191,33.89958,secondary
CA,1993,266.408,15.6302,0.813,1,1,22.43,33.98206,secondary
CA,1994,271.943,15.5621,0.827,1,1,22.953,34.054,secondary
CA,1995,276.371,15.168,0.817,1,1,23.983,34.17737,secondary
CA,1996,278.043,14.3467,0.845,1,1,25.142,34.29433,secondary
CA,1997,285.612,12.9126,0.852,1,1,26.314,34.48209,secondary
CO,1990,27.178,20.0162,0.5,1,0,19.29,34.01883,secondary
CO,1991,27.744,19.5718,0.51,1,0,20.099,34.17677,secondary
CO,1992,28.927,18.0454,0.5,1,0,21.005,34.34635,secondary
CO,1993,32.718,17.0854,0.53,1,0,22.117,34.55241,secondary
CO,1994,33.705,17.3861,0.54,1,0,23.019,34.78416,secondary
CO,1995,35.058,18.3981,0.56,1,0,24.304,34.98942,secondary
CO,1996,36.141,17.072,0.56,1,0,25.627,35.19139,secondary
CO,1997,37.746,16.2401,0.59,1,0,27.015,35.31959,secondary
CT,1990,26.303,14.6371,0.59,0,0,26.453,36.7701,primary
CT,1991,26.628,11.6419,0.61,1,0,26.721,36.82064,primary
CT,1992,26.459,11.1871,0.71,0,0,28.345,36.9771,primary
CT,1993,27.001,12.6662,0.71,0,0,29.232,37.06562,primary
